persona_id,journey_index,step_id,phase,action,dwell_seconds,signals,detected_events,intervention,intervention_accepted
franz,0,s1_coverage_scope,Inputs,at_doctor,2.0,dwell,none,none,
franz,0,s2_for_whom,Inputs,myself,4.73,dwell,none,none,
franz,0,s3_personal_data,Inputs,submit,6.31,dwell,none,none,
franz,0,s4_initial_price,Product,select_optimal,10.97,dwell|price_hover|tariff_click_oos|back_nav,oos_tariff|back_nav,tariff_route_explainer,1
franz,0,s5_add_ons,Product,abandon,18.79,dwell,none,none,
franz,1,s1_coverage_scope,Inputs,at_doctor,6.09,dwell,none,none,
franz,1,s2_for_whom,Inputs,myself,2.0,dwell,none,none,
franz,1,s3_personal_data,Inputs,submit,6.49,dwell,none,none,
franz,1,s4_initial_price,Product,select_optimal,6.24,dwell|price_hover,none,none,
franz,1,s5_add_ons,Product,abandon,10.96,dwell,none,none,
franz,2,s1_coverage_scope,Inputs,at_doctor,10.61,dwell,none,none,
franz,2,s2_for_whom,Inputs,myself,9.41,dwell,none,none,
franz,2,s3_personal_data,Inputs,submit,4.6,dwell,none,none,
franz,2,s4_initial_price,Product,abandon,32.34,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,1
franz,3,s1_coverage_scope,Inputs,at_doctor,6.87,dwell,none,none,
franz,3,s2_for_whom,Inputs,myself,2.0,dwell,none,none,
franz,3,s3_personal_data,Inputs,submit,7.81,dwell,none,none,
franz,3,s4_initial_price,Product,abandon,16.39,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,0
franz,4,s1_coverage_scope,Inputs,at_doctor,7.16,dwell,none,none,
franz,4,s2_for_whom,Inputs,myself,4.05,dwell,none,none,
franz,4,s3_personal_data,Inputs,submit,5.03,dwell,none,none,
franz,4,s4_initial_price,Product,select_optimal,9.26,dwell|price_hover,none,none,
franz,4,s5_add_ons,Product,abandon,9.37,dwell,none,none,
franz,5,s1_coverage_scope,Inputs,at_doctor,4.18,dwell,none,none,
franz,5,s2_for_whom,Inputs,myself,5.93,dwell,none,none,
franz,5,s3_personal_data,Inputs,submit,7.69,dwell,none,none,
franz,5,s4_initial_price,Product,abandon,24.02,dwell|price_hover|cancel_hover,cancel_intent,price_reframe,0
